Mark,Model,SpecificationModel,YearsBuilt
Volkswagen,Golf IV,1.9 TDI 105,1997;1998;1999;2000
Volkswagen,Golf IV,1.9 TDI 101,1997;1998;1999;2000
Volkswagen,Golf IV,1.6 16V,1997;1998;1999;2000;2001;2002;2003
Volkswagen,Golf V,1.9 TDI 90,2003;2004;2005;2006
Volkswagen,Golf V,1.9 TDI 105,2003;2004;2005;2006;2007;2008
Volkswagen,Golf V,1.6 16V,2003;2004;2005;2006;2007
Volkswagen,Golf VI,1.9 TDI 90,2008;2009;2010;2011;2012
Volkswagen,Golf VI,1.4 16V,2008;2009;2010;2011
Volkswagen,Golf VI,1.9 TDI 101,2008;2009;2010;2011;2012
Volkswagen,Passat B5,1.9 TDI 101,1996;1997;1998;1999
Volkswagen,Passat B5,2.0 TDI 140,1996;1997;1998;1999;2000;2001;2002;2003
Volkswagen,Passat B5,1.9 TDI 131,1996;1997;1998;1999
Volkswagen,Passat B6,1.9 TDI 131,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B6,2.0 TDI 140,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B6,1.9 TDI 101,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B7,1.9 TDI 101,2010;2011;2012;2013;2014
Volkswagen,Passat B7,2.0 FSI,2010;2011;2012;2013;2014
Volkswagen,Passat B7,2.0 TDI 140,2010;2011;2012;2013;2014
Volkswagen,Polo IV,1.2 TSI 90,2001;2002;2003;2004;2005;2006;2007;2008
Volkswagen,Polo IV,1.2 12V,2001;2002;2003;2004;2005;2006
Volkswagen,Polo IV,1.6 TDI 90,2001;2002;2003;2004;2005;2006;2007;2008
Volkswagen,Polo V,1.4 16V,2009;2010;2011;2012;2013;2014
Volkswagen,Polo V,1.2 12V,2009;2010;2011;2012
Volkswagen,Polo V,1.6 TDI 90,2009;2010;2011;2012;2013;2014;2015;2016
Volkswagen,Touran I,1.4 TSI 140,2003;2004;2005;2006;2007;2008;2009;2010
Volkswagen,Touran I,1.9 TDI 105,2003;2004;2005;2006;2007
Volkswagen,Touran I,2.0 TDI 140,2003;2004;2005;2006;2007;2008;2009
Volkswagen,Sharan I,2.0 TDI 140,1995;1996;1997;1998;1999;2000;2001
Volkswagen,Sharan I,1.9 TDI 130,1995;1996;1997;1998;1999;2000;2001;2002
Volkswagen,Sharan I,1.9 TDI 115,1995;1996;1997;1998;1999;2000;2001
Opel,Astra G,1.9 CDTI 120,1998;1999;2000;2001;2002
Opel,Astra G,1.7 CDTI 100,1998;1999;2000;2001;2002
Opel,Astra G,1.7 DTI,1998;1999;2000;2001
Opel,Astra H,1.9 CDTI 120,2004;2005;2006;2007;2008;2009
Opel,Astra H,1.6 16V,2004;2005;2006;2007;2008;2009;2010
Opel,Astra H,1.7 CDTI 100,2004;2005;2006;2007;2008;2009
Opel,Astra J,1.7 DTI,2010;2011;2012;2013;2014
Opel,Astra J,1.6 16V,2010;2011;2012;2013;2014;2015
Opel,Astra J,1.7 CDTI 100,2010;2011;2012;2013;2014
Opel,Corsa C,1.4 16V,2000;2001;2002;2003
Opel,Corsa C,1.3 CDTI 75,2000;2001;2002;2003;2004;2005;2006
Opel,Corsa C,1.2 16V,2000;2001;2002;2003;2004;2005;2006
Opel,Corsa D,1.3 CDTI 90,2006;2007;2008;2009;2010;2011;2012;2013
Opel,Corsa D,1.3 CDTI 75,2006;2007;2008;2009;2010;2011;2012
Opel,Corsa D,1.4 16V,2006;2007;2008;2009;2010;2011;2012;2013
Opel,Corsa E,1.4 16V,2014;2015;2016;2017;2018;2019
Opel,Corsa E,1.2 16V,2014;2015;2016;2017;2018;2019
Opel,Corsa E,1.3 CDTI 90,2014;2015;2016;2017
Opel,Insignia A,2.0 CDTI 130,2008;2009;2010;2011;2012;2013
Opel,Insignia A,2.0 CDTI 160,2008;2009;2010;2011;2012;2013;2014
Opel,Insignia A,1.8 16V,2008;2009;2010;2011;2012;2013
Opel,Vectra C,1.9 CDTI 120,2002;2003;2004;2005;2006
Opel,Vectra C,1.9 CDTI 150,2002;2003;2004;2005;2006;2007;2008
Opel,Vectra C,2.2 16V,2002;2003;2004;2005
Opel,Zafira A,1.9 CDTI 150,1999;2000;2001;2002;2003;2004
Opel,Zafira A,1.9 CDTI 120,1999;2000;2001;2002;2003
Opel,Zafira A,1.6 16V,1999;2000;2001;2002;2003
Opel,Zafira B,1.9 CDTI 150,2005;2006;2007;2008
Opel,Zafira B,1.6 16V,2005;2006;2007;2008;2009
Opel,Zafira B,1.9 CDTI 120,2005;2006;2007;2008;2009;2010;2011
Fiat,Punto II,1.3 Multijet 90,1999;2000;2001;2002;2003
Fiat,Punto II,1.3 Multijet 75,1999;2000;2001;2002;2003;2004;2005
Fiat,Punto II,1.2 16V,1999;2000;2001;2002;2003;2004;2005;2006
Fiat,Punto Grande,1.3 Multijet 75,2005;2006;2007;2008;2009;2010
Fiat,Punto Grande,1.3 Multijet 90,2005;2006;2007;2008;2009;2010;2011
Fiat,Punto Grande,1.2 16V,2005;2006;2007;2008;2009
Fiat,Stilo I,1.9 JTD 115,2001;2002;2003;2004;2005
Fiat,Stilo I,1.6 16V,2001;2002;2003;2004;2005
Fiat,Stilo I,1.9 JTD 140,2001;2002;2003;2004;2005
Fiat,Tipo II,1.3 Multijet 95,2015;2016;2017;2018;2019;2020
Fiat,Tipo II,1.6 Multijet 120,2015;2016;2017;2018;2019;2020
Fiat,Tipo II,1.4 16V,2015;2016;2017;2018
Fiat,500L I,1.3 Multijet 95,2012;2013;2014;2015;2016;2017;2018;2019
Fiat,500L I,1.6 Multijet 105,2012;2013;2014;2015;2016;2017;2018;2019
Fiat,500L I,1.4 T-Jet 120,2012;2013;2014;2015;2016;2017
Fiat,Panda II,1.2 8V,2003;2004;2005;2006;2007;2008;2009
Fiat,Panda II,1.3 Multijet 70,2003;2004;2005;2006;2007;2008;2009;2010
Renault,Clio II,1.5 dCi 90,1998;1999;2000;2001;2002;2003;2004
Renault,Clio II,1.5 dCi 65,1998;1999;2000;2001
Renault,Clio II,1.5 dCi 85,1998;1999;2000;2001;2002;2003;2004
Renault,Clio III,1.5 dCi 90,2005;2006;2007;2008
Renault,Clio III,1.2 16V,2005;2006;2007;2008;2009
Renault,Clio III,1.5 dCi 85,2005;2006;2007;2008;2009;2010;2011
Renault,Clio IV,1.5 dCi 65,2012;2013;2014;2015;2016;2017;2018;2019
Renault,Clio IV,1.2 16V,2012;2013;2014;2015
Renault,Clio IV,1.5 dCi 90,2012;2013;2014;2015
Renault,Megane II,1.5 dCi 85,2002;2003;2004;2005;2006;2007;2008;2009
Renault,Megane II,1.9 dCi 130,2002;2003;2004;2005
Renault,Megane II,1.6 16V,2002;2003;2004;2005;2006;2007
Renault,Megane III,1.5 dCi 85,2009;2010;2011;2012;2013;2014;2015;2016
Renault,Megane III,1.6 16V,2009;2010;2011;2012;2013;2014;2015
Renault,Megane III,1.9 dCi 130,2009;2010;2011;2012;2013
Renault,Scenic II,1.6 16V,2003;2004;2005;2006;2007;2008;2009
Renault,Scenic II,1.9 dCi 130,2003;2004;2005;2006;2007;2008
Renault,Scenic II,1.5 dCi 105,2003;2004;2005;2006;2007;2008;2009
Renault,Scenic III,1.5 dCi 105,2009;2010;2011;2012;2013;2014;2015
Renault,Scenic III,1.6 16V,2009;2010;2011;2012;2013;2014;2015
Renault,Scenic III,1.9 dCi 130,2009;2010;2011;2012;2013;2014;2015
Renault,Laguna II,2.0 dCi 150,2001;2002;2003;2004
Renault,Laguna II,1.9 dCi 120,2001;2002;2003;2004;2005;2006
Renault,Laguna II,2.0 16V,2001;2002;2003;2004;2005;2006
Renault,Laguna III,2.0 dCi 150,2007;2008;2009;2010;2011
Renault,Laguna III,1.9 dCi 120,2007;2008;2009;2010;2011;2012;2013;2014
Renault,Laguna III,2.0 16V,2007;2008;2009;2010;2011;2012
Renault,Twingo II,1.2 16V,2007;2008;2009;2010;2011;2012;2013;2014
Renault,Twingo II,1.5 dCi 75,2007;2008;2009;2010;2011;2012
Peugeot,206 I,1.6 16V,1998;1999;2000;2001;2002;2003;2004;2005
Peugeot,206 I,1.4 8V,1998;1999;2000;2001;2002;2003
Peugeot,206 I,1.4 HDi 68,1998;1999;2000;2001;2002
Peugeot,207 I,1.6 HDi 90,2006;2007;2008;2009;2010
Peugeot,207 I,1.4 16V,2006;2007;2008;2009;2010;2011;2012;2013
Peugeot,207 I,1.6 16V,2006;2007;2008;2009;2010
Peugeot,307 I,1.6 16V,2001;2002;2003;2004;2005
Peugeot,307 I,2.0 HDi 110,2001;2002;2003;2004;2005;2006;2007;2008
Peugeot,307 I,1.6 HDi 110,2001;2002;2003;2004;2005;2006;2007
Peugeot,308 I,1.6 HDi 110,2007;2008;2009;2010;2011;2012
Peugeot,308 I,1.6 VTi,2007;2008;2009;2010;2011;2012;2013
Peugeot,308 I,2.0 HDi 140,2007;2008;2009;2010;2011;2012
Peugeot,407 I,1.6 HDi 110,2004;2005;2006;2007;2008;2009
Peugeot,407 I,2.0 HDi 136,2004;2005;2006;2007;2008;2009
Peugeot,407 I,2.2 16V,2004;2005;2006;2007
Škoda,Octavia I,1.9 TDI 105,1996;1997;1998;1999;2000;2001;2002
Škoda,Octavia I,1.9 TDI 101,1996;1997;1998;1999;2000
Škoda,Octavia I,2.0 TDI 140,1996;1997;1998;1999;2000;2001
Škoda,Octavia II,1.9 TDI 105,2004;2005;2006;2007;2008;2009;2010
Škoda,Octavia II,1.6 MPI,2004;2005;2006;2007;2008;2009
Škoda,Octavia II,1.9 TDI 101,2004;2005;2006;2007
Škoda,Octavia III,1.9 TDI 101,2013;2014;2015;2016;2017;2018;2019
Škoda,Octavia III,1.9 TDI 105,2013;2014;2015;2016;2017
Škoda,Octavia III,1.6 MPI,2013;2014;2015;2016;2017;2018;2019
Škoda,Fabia I,1.6 TDI 90,1999;2000;2001;2002;2003;2004;2005
Škoda,Fabia I,1.2 HTP,1999;2000;2001;2002;2003;2004;2005
Škoda,Fabia I,1.4 16V,1999;2000;2001;2002;2003;2004;2005
Škoda,Fabia II,1.6 TDI 90,2007;2008;2009;2010;2011
Škoda,Fabia II,1.4 16V,2007;2008;2009;2010;2011
Škoda,Fabia II,1.2 HTP,2007;2008;2009;2010
Škoda,Fabia III,1.4 16V,2014;2015;2016;2017;2018;2019;2020;2021
Škoda,Fabia III,1.2 HTP,2014;2015;2016;2017;2018;2019;2020;2021
Škoda,Fabia III,1.6 TDI 90,2014;2015;2016;2017;2018;2019;2020
Škoda,Superb II,1.8 TSI,2008;2009;2010;2011;2012;2013;2014;2015
Škoda,Superb II,2.0 TDI 140,2008;2009;2010;2011;2012;2013;2014;2015
Škoda,Superb II,1.9 TDI 105,2008;2009;2010;2011;2012
Škoda,Rapid I,1.2 TSI 86,2012;2013;2014;2015;2016;2017;2018;2019
Škoda,Rapid I,1.6 MPI,2012;2013;2014;2015;2016
Škoda,Rapid I,1.6 TDI 90,2012;2013;2014;2015;2016;2017;2018
Audi,A3 8L,1.9 TDI 105,1996;1997;1998;1999;2000;2001
Audi,A3 8L,1.6 8V,1996;1997;1998;1999;2000
Audi,A3 8L,2.0 TDI 140,1996;1997;1998;1999;2000;2001
Audi,A3 8P,1.6 8V,2003;2004;2005;2006;2007;2008
Audi,A3 8P,1.9 TDI 105,2003;2004;2005;2006;2007;2008;2009;2010
Audi,A3 8P,2.0 TDI 140,2003;2004;2005;2006;2007;2008;2009
Audi,A4 B5,1.9 TDI 130,1994;1995;1996;1997;1998;1999;2000
Audi,A4 B5,1.9 TDI 116,1994;1995;1996;1997;1998;1999;2000;2001
Audi,A4 B5,1.8T,1994;1995;1996;1997;1998;1999;2000;2001
Audi,A4 B6,1.8T,2000;2001;2002;2003;2004
Audi,A4 B6,2.0 TDI 143,2000;2001;2002;2003;2004
Audi,A4 B6,1.9 TDI 116,2000;2001;2002;2003;2004
Audi,A4 B7,1.9 TDI 116,2004;2005;2006;2007;2008
Audi,A4 B7,1.9 TDI 130,2004;2005;2006;2007
Audi,A4 B7,1.8T,2004;2005;2006;2007;2008
Audi,A4 B8,1.9 TDI 130,2008;2009;2010;2011;2012;2013;2014;2015
Audi,A4 B8,1.9 TDI 116,2008;2009;2010;2011
Audi,A4 B8,1.8T,2008;2009;2010;2011;2012;2013;2014;2015
Audi,A6 C5,1.9 TDI 130,1997;1998;1999;2000
Audi,A6 C5,2.0 TDI 140,1997;1998;1999;2000;2001;2002;2003;2004
Audi,A6 C5,2.4 V6,1997;1998;1999;2000
Audi,A6 C6,1.9 TDI 130,2004;2005;2006;2007
Audi,A6 C6,2.4 V6,2004;2005;2006;2007
Audi,A6 C6,2.0 TDI 140,2004;2005;2006;2007;2008;2009;2010;2011
BMW,3 Series E46,320d 163,1998;1999;2000;2001
BMW,3 Series E46,320i,1998;1999;2000;2001;2002;2003;2004
BMW,3 Series E46,320d 150,1998;1999;2000;2001;2002;2003
BMW,3 Series E90,318i,2005;2006;2007;2008;2009;2010;2011
BMW,3 Series E90,320i,2005;2006;2007;2008;2009;2010;2011;2012
BMW,3 Series E90,320d 163,2005;2006;2007;2008;2009;2010;2011;2012
BMW,5 Series E39,520i,1995;1996;1997;1998;1999;2000;2001;2002
BMW,5 Series E39,520d 150,1995;1996;1997;1998;1999
BMW,5 Series E39,525d 163,1995;1996;1997;1998;1999;2000;2001
BMW,5 Series E60,520d 150,2003;2004;2005;2006;2007;2008;2009
BMW,5 Series E60,520i,2003;2004;2005;2006;2007;2008;2009
BMW,5 Series E60,525d 163,2003;2004;2005;2006;2007;2008
BMW,1 Series E87,118d,2004;2005;2006;2007
BMW,1 Series E87,116i,2004;2005;2006;2007;2008
BMW,1 Series E87,120d,2004;2005;2006;2007;2008;2009
Mercedes-Benz,C-Class W203,C200 CDI,2000;2001;2002;2003;2004
Mercedes-Benz,C-Class W203,C180 Kompressor,2000;2001;2002;2003;2004;2005
Mercedes-Benz,C-Class W203,C220 CDI,2000;2001;2002;2003;2004
Mercedes-Benz,C-Class W204,C220 CDI,2007;2008;2009;2010;2011;2012;2013
Mercedes-Benz,C-Class W204,C200 CDI,2007;2008;2009;2010;2011;2012;2013
Mercedes-Benz,C-Class W204,C180 Kompressor,2007;2008;2009;2010;2011
Mercedes-Benz,E-Class W210,E200 Kompressor,1995;1996;1997;1998;1999;2000;2001
Mercedes-Benz,E-Class W210,E220 CDI,1995;1996;1997;1998;1999;2000;2001;2002
Mercedes-Benz,E-Class W210,E270 CDI,1995;1996;1997;1998;1999;2000;2001
Mercedes-Benz,E-Class W211,E270 CDI,2002;2003;2004;2005;2006;2007
Mercedes-Benz,E-Class W211,E200 Kompressor,2002;2003;2004;2005;2006;2007
Mercedes-Benz,E-Class W211,E220 CDI,2002;2003;2004;2005
Mercedes-Benz,A-Class W169,A160,2004;2005;2006;2007;2008;2009
Mercedes-Benz,A-Class W169,A200,2004;2005;2006;2007;2008;2009;2010;2011
Mercedes-Benz,A-Class W169,A180 CDI,2004;2005;2006;2007;2008;2009;2010
Toyota,Yaris XP9,1.3 VVT-i,2005;2006;2007;2008;2009;2010
Toyota,Yaris XP9,1.0 VVT-i,2005;2006;2007;2008;2009;2010;2011
Toyota,Yaris XP9,1.4 D-4D,2005;2006;2007;2008;2009;2010;2011
Toyota,Corolla E12,1.6 VVT-i,2001;2002;2003;2004;2005
Toyota,Corolla E12,1.4 VVT-i,2001;2002;2003;2004
Toyota,Corolla E12,2.0 D-4D,2001;2002;2003;2004
Toyota,Corolla E15,1.6 VVT-i,2006;2007;2008;2009;2010
Toyota,Corolla E15,2.0 D-4D,2006;2007;2008;2009;2010;2011
Toyota,Corolla E15,1.4 VVT-i,2006;2007;2008;2009;2010
Toyota,Auris E150,1.6 Valvematic,2006;2007;2008;2009;2010;2011;2012
Toyota,Auris E150,1.4 D-4D,2006;2007;2008;2009;2010
Hyundai,i10 PA,1.2,2007;2008;2009;2010
Hyundai,i10 PA,1.1,2007;2008;2009;2010;2011;2012
Hyundai,i20 PB,1.2,2008;2009;2010;2011;2012;2013;2014
Hyundai,i20 PB,1.4 CRDi 75,2008;2009;2010;2011
Hyundai,i30 FD,1.6 CRDi 90,2007;2008;2009;2010;2011;2012
Hyundai,i30 FD,1.4 16V,2007;2008;2009;2010
Hyundai,i30 FD,1.6 16V,2007;2008;2009;2010;2011;2012
Kia,Rio JB,1.4 16V,2005;2006;2007;2008;2009;2010
Kia,Rio JB,1.5 CRDi,2005;2006;2007;2008
Kia,Ceed ED,1.6 CRDi 115,2006;2007;2008;2009;2010;2011
Kia,Ceed ED,1.4,2006;2007;2008;2009;2010;2011;2012
Kia,Sportage KM,2.0 16V,2004;2005;2006;2007;2008;2009;2010
Kia,Sportage KM,2.0 CRDi,2004;2005;2006;2007;2008
Dacia,Logan I,1.4 MPI,2004;2005;2006;2007;2008
Dacia,Logan I,1.6 MPI,2004;2005;2006;2007;2008;2009
Dacia,Logan I,1.5 dCi 70,2004;2005;2006;2007
Dacia,Sandero I,1.4 MPI,2008;2009;2010;2011;2012
Dacia,Sandero I,1.2 16V,2008;2009;2010;2011;2012
Dacia,Sandero I,1.5 dCi 75,2008;2009;2010;2011;2012
Dacia,Duster I,1.6 16V,2010;2011;2012;2013;2014;2015;2016;2017
Dacia,Duster I,1.5 dCi 110,2010;2011;2012;2013;2014
Ford,Focus Mk1,1.8 TDCi 115,1998;1999;2000;2001;2002;2003
Ford,Focus Mk1,2.0 TDCi 140,1998;1999;2000;2001
Ford,Focus Mk1,1.6 16V,1998;1999;2000;2001
Ford,Focus Mk2,1.6 16V,2004;2005;2006;2007;2008
Ford,Focus Mk2,2.0 TDCi 140,2004;2005;2006;2007;2008;2009;2010
Ford,Focus Mk2,1.8 TDCi 115,2004;2005;2006;2007
Ford,Focus Mk3,2.0 TDCi 140,2011;2012;2013;2014;2015;2016;2017;2018
Ford,Focus Mk3,1.8 TDCi 115,2011;2012;2013;2014;2015;2016;2017
Ford,Focus Mk3,1.6 16V,2011;2012;2013;2014;2015;2016;2017;2018
Ford,Fiesta Mk6,1.4 TDCi,2002;2003;2004;2005;2006;2007
Ford,Fiesta Mk6,1.25,2002;2003;2004;2005;2006
Ford,Fiesta Mk6,1.6 16V,2002;2003;2004;2005;2006
Ford,Fiesta Mk7,1.4 TDCi,2008;2009;2010;2011;2012
Ford,Fiesta Mk7,1.6 16V,2008;2009;2010;2011
Ford,Fiesta Mk7,1.25,2008;2009;2010;2011
Ford,Mondeo Mk3,1.8 16V,2000;2001;2002;2003;2004
Ford,Mondeo Mk3,2.0 TDCi 130,2000;2001;2002;2003
Citroën,C3 I,1.4 16V,2002;2003;2004;2005;2006;2007;2008;2009
Citroën,C3 I,1.4 HDi 70,2002;2003;2004;2005;2006;2007
Citroën,C4 I,1.6 16V,2004;2005;2006;2007
Citroën,C4 I,1.6 HDi 110,2004;2005;2006;2007;2008;2009;2010
Citroën,C5 II,2.0 HDi 138,2008;2009;2010;2011;2012;2013
Citroën,C5 II,1.6 HDi 110,2008;2009;2010;2011;2012;2013;2014
Citroën,Xsara I/II,1.6 16V,1997;1998;1999;2000;2001;2002
Citroën,Xsara I/II,2.0 HDi 90,1997;1998;1999;2000;2001;2002
SEAT,Ibiza 6L,1.9 TDI 100,2002;2003;2004;2005
SEAT,Ibiza 6L,1.4 16V,2002;2003;2004;2005;2006;2007
SEAT,Ibiza 6L,1.2 12V,2002;2003;2004;2005;2006
SEAT,Ibiza 6J,1.4 16V,2008;2009;2010;2011;2012;2013
